Wall time,Step,Value
1734354862.3996842,6,0.4029878079891205
1734354864.4045117,7,0.22528383135795593
1734354872.9397569,11,0.08817613124847412
1734354875.0110195,12,0.07628462463617325
1734354881.2736757,15,0.11065645515918732
1734354883.3465848,16,0.07909413427114487
1734354889.7245119,19,0.07008728384971619
1734354892.1723492,20,0.08896565437316895
1734354894.2020009,21,0.09776944667100906
1734354902.4550607,25,0.099822036921978
1734354921.3473406,34,0.08424975723028183
1734354927.5232368,37,0.07617846131324768
1734354936.099992,41,0.10019560158252716
1734354940.3888898,43,0.07634013891220093
1734354944.5838578,45,0.08142698556184769
1734354946.6954157,46,0.10600360482931137
1734354950.8339202,48,0.09098544716835022
1734354955.43891,50,0.07848105579614639
1734354957.5615911,51,0.06585168093442917
1734354963.783929,54,0.07408168911933899
1734354965.871573,55,0.07311593741178513
1734354967.948358,56,0.10358455777168274
1734354970.0163193,57,0.3322105407714844
1734354972.1839023,58,0.44973114132881165
1734354980.5678477,62,0.43389061093330383
1734354984.7973144,64,0.37808868288993835
1734354989.0925825,66,0.18621830642223358
1734354991.2093682,67,0.06823402643203735
1734354993.2804403,68,0.2931268513202667
1734354995.4013753,69,0.33539921045303345
1734355002.1620455,72,0.33420294523239136
1734355004.3037267,73,0.1989043951034546
1734355006.365504,74,0.2726871967315674
1734355008.4704733,75,0.23770420253276825
1734355019.3168392,80,0.0771527960896492
1734355029.9154143,85,0.08738738298416138
1734355036.197337,88,0.08835458755493164
1734355038.32564,89,0.09500204026699066
1734355051.4934454,95,0.08129604905843735
1734355068.9801638,103,0.07829369604587555
1734355075.2806911,106,0.09297541528940201
1734355077.3787336,107,0.08478350937366486
1734355092.4699867,114,0.11631207913160324
1734355098.9669278,117,0.1326899528503418
1734355103.092857,119,0.558768630027771
1734355116.0226324,125,0.46312519907951355
1734355118.2019079,126,0.6027498245239258
1734355120.3516276,127,0.5529974699020386
1734355127.275959,130,0.5787959098815918
1734355129.6662273,131,0.4027654528617859
1734355144.3922863,138,0.37348124384880066
1734355148.9523304,140,0.12670494616031647
1734355153.108862,142,0.21788881719112396
1734355155.2077298,143,0.09047628194093704
1734355157.2901542,144,0.11064328998327255
1734355159.4699671,145,0.08918754756450653
1734355172.4065695,151,0.1280742734670639
1734355182.9269755,156,0.18214397132396698
1734355187.255729,158,0.20528124272823334
1734355189.4067686,159,0.11251808702945709
1734355191.731892,160,0.11420576274394989
1734355198.1681702,163,0.14941495656967163
1734355204.3840876,166,0.08819220960140228
1734355208.6016057,168,0.10111881792545319
1734355210.7098553,169,0.09655392169952393
1734355217.4950745,172,0.097446009516716
1734355228.053758,177,0.09710056334733963
1734355230.1341126,178,0.08524598926305771
1734355232.2772894,179,0.10656584799289703
1734355236.7667077,181,0.09044485539197922
1734355243.1734893,184,0.08506406098604202
1734355247.3965673,186,0.09894291311502457
1734355249.5217214,187,0.07639038562774658
1734355253.6547801,189,0.08502944558858871
1734355258.3294895,191,0.15252511203289032
1734355260.47236,192,0.17494621872901917
1734355275.3343313,199,0.08973025530576706
1734355292.967463,207,0.07317962497472763
1734355295.0283885,208,0.08750756084918976
1734355297.1679573,209,0.10348749160766602
1734355305.846575,213,0.08770394325256348
1734355318.6706872,219,0.14346641302108765
1734355327.308209,223,0.08826809376478195
1734355329.3729193,224,0.08143492043018341
1734355333.539006,226,0.1286165863275528
1734355337.7052767,228,0.15564337372779846
1734355342.2099917,230,0.10485140979290009
1734355348.5115318,233,0.15126445889472961
1734355350.73068,234,0.3742560148239136
1734355352.8434277,235,0.2916198968887329
1734355359.1376457,238,0.1684129685163498
1734355380.2959437,248,0.09940637648105621
1734355385.0058308,250,0.09057553112506866
